Country;Continent;Capital;Jan;Jan_Reason;Jan_Risk;Feb;Feb_Reason;Feb_Risk;Mar;Mar_Reason;Mar_Risk;Apr;Apr_Reason;Apr_Risk;May;May_Reason;May_Risk;Jun;Jun_Reason;Jun_Risk;Jul;Jul_Reason;Jul_Risk;Aug;Aug_Reason;Aug_Risk;Sep;Sep_Reason;Sep_Risk;Oct;Oct_Reason;Oct_Risk;Nov;Nov_Reason;Nov_Risk;Dec;Dec_Reason;Dec_Risk;;;
Seychelles;Africa;Victoria;1;Peak season;Overpriced;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Easter winds;Sunburn;4;Rain begins;Rough seas;4;Peak monsoon;Flooding;4;Wettest month;Mosquitoes;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price gouging;;;
Sierra Leone;Africa;Freetown;3;Dry season;Harmattan;1;Best month;Few risks;4;Heat peaks;45C;4;First rains;Malaria;4;Peak wet;Cholera;4;Continued rains;Flooding;3;Dry begins;Mud;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political rallies;2;Harmattan;Poor visibility;;;
Singapore;Asia;Singapore;2;Northeast monsoon;Flooding;1;Dry begins;Few risks;1;Best month;Few risks;1;Dry continues;Few risks;2;Heat builds;Haze;3;Dry ends;Dusty;4;Peak wet;Flooding;4;Continued rains;Dengue;3;Rain lessens;Mud;2;Shoulder month;Few risks;1;Christmas;Overcrowding;2;New Year;Flood alerts;;;
Slovakia;Europe;Bratislava;3;Winter grey;-5C;2;Winter sports;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Best month;Pollen;2;Summer begins;Heatwaves;2;Peak season;Thunderstorms;2;Festival month;Few risks;1;Fall colors;Cool nights;1;Christmas prep;Snow;2;Winter markets;Few risks;3;New Year;Ice storms;;;
Slovenia;Europe;Ljubljana;3;Winter quiet;Mountain snow;2;Carnival month;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Perfect hiking;Few risks;2;Summer begins;Heatwaves;4;Peak scorching;Wildfire risk;4;Continued heat;Water shortages;1;Fall colors;Few risks;1;Best hiking;Cool nights;2;Christmas prep;Snow;3;New Year;Blizzards;;;
Solomon Islands;Oceania;Honiara;4;Peak wet;Cyclones;3;Rain lessens;Humid;1;Best month;Few risks;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Dry ends;Dusty;4;Peak wet;Flooding;4;Continued rains;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Somalia;Africa;Mogadishu;3;Dry season;Conflict risk;1;Best month;Few risks;4;Heat peaks;45C;4;First rains;Malaria;4;Peak wet;Cholera;4;Continued rains;Flooding;3;Dry begins;Mud;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political unrest;2;Harmattan;Poor visibility;;;
South Africa;Africa;Pretoria;1;Summer peak;Few risks;1;Best month;Few risks;2;Fall begins;Few risks;1;Dry season;Few risks;1;Peak wildlife;Few risks;1;Winter begins;Few risks;1;Dry continues;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Few risks;1;New Year;Overcrowding;;;
South Sudan;Africa;Juba;3;Dry season;Dusty;1;Best month;Few risks;4;Heat peaks;45C;4;First rains;Malaria;4;Peak wet;Cholera;4;Continued rains;Flooding;3;Dry begins;Mud;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Conflict risk;2;Harmattan;Poor visibility;;;
Spain;Europe;Madrid;3;Winter quiet;Chilly rain;2;Carnival prep;Overcrowding;1;Spring starts;Pollen;1;Easter crowds;Few risks;1;Perfect beaches;Jellyfish;2;Summer begins;Heatwaves;4;Peak scorching;Wildfire risk;4;Continued heat;Water shortages;1;Fall colors;Few risks;1;Best hiking;Cool nights;2;Christmas prep;Storms;3;New Year;Ferry cancellations;;;
Sri Lanka;Asia;Colombo;1;Northeast monsoon;Flooding (east);1;Dry begins;Few risks;1;Best month;Few risks;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Southwest monsoon;Flooding (west);4;Peak wet;Landslides;4;Continued rains;Dengue;3;Rain lessens;Mud;2;Shoulder month;Few risks;1;Christmas;Overcrowding;2;New Year;Flood alerts;;;
Sudan;Africa;Khartoum;3;Winter chill;Dust storms;2;Best month;Few risks;4;Heat peaks;50C;4;Scorching;Dehydration;4;First rains;Malaria;4;Peak wet;Cholera;3;Dry begins;Mud;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political unrest;2;Harmattan;Poor visibility;;;
Suriname;South America;Paramaribo;1;Short dry spell;Few risks;1;Carnival month;Overcrowding;2;Dry continues;Dusty;3;Heat builds;Humidity;4;Rain begins;Flooding;4;Peak wet;Mosquitoes;4;Continued rains;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Sweden;Europe;Stockholm;4;Polar night;-20C;3;Winter sports;Blizzards;2;Snow melts;Flooding;1;Spring starts;Icy roads;1;Midnight sun;Few risks;1;Peak summer;Few risks;1;Festival month;Few risks;1;Fall begins;Cool nights;2;Winter prep;Storms;3;First snow;Power cuts;4;Christmas;6h daylight;4;New Year;Blizzards;;;
Switzerland;Europe;Bern;3;Ski season;-10C;2;Winter sports;Avalanches;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Best month;Pollen;2;Summer begins;Few risks;2;Peak season;Few risks;2;Festival month;Few risks;1;Fall colors;Cool nights;1;Christmas prep;Snow;2;Winter markets;Few risks;3;New Year;Blizzards;;;
Syria;Asia;Damascus;3;Winter chill;Occasional snow;2;Best month;Few risks;1;Spring starts;Dust storms;2;Heat builds;40C+;4;Scorching;Dehydration;4;Peak heat;Water shortages;4;Continued heat;Few risks;2;Fall begins;Cool nights;1;Best month;Few risks;1;Christmas;Overcrowding;2;New Year;Security alerts;;;
Taiwan;Asia;Taipei;2;Cool season;Occasional rain;1;Best month;Few risks;3;Heat builds;Humidity;4;Plum rains;Flooding;4;Peak heat;Typhoon prep;4;Typhoon season;Landslides;4;Continued storms;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Tajikistan;Asia;Dushanbe;4;Extreme cold;-20C;3;Winter sports;Avalanches;2;Snow melts;Flooding;1;Spring starts;Unpredictable;1;Best month;Few risks;1;Summer begins;Few risks;1;Peak warmth;Few risks;1;Festival month;Few risks;1;Fall colors;Cool nights;2;Winter prep;Snow;3;Christmas;Power cuts;4;New Year;-30C;;;
United Republic of Tanzania;Africa;Dodoma;1;Short dry spell;Few risks;1;Best month;Few risks;3;Rainy season;Malaria;4;Peak rains;Cholera;4;Continued wet;Flooding;4;Muddy roads;Diseases;3;Dry begins;Few risks;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Few risks;1;Christmas;Few risks;2;Rainy prep;Roadblocks;;;
Thailand;Asia;Bangkok;1;Cool season;Air pollution;1;Best month;Few risks;4;Heat builds;40C+;4;Songkran;Dehydration;4;Peak scorching;Heatstroke;3;Monsoon begins;Flooding;2;Less rain;Dengue;2;Green season;Few risks;3;Rainy continues;Landslides;1;Dry returns;Mosquitoes;1;Loy Krathong;Cool nights;1;Christmas;Overcrowding;;;
Togo;Africa;Lom;3;Harmattan;Dusty;1;Best month;Few risks;4;Heat peaks;45C;4;First rains;Malaria;4;Peak wet;Cholera;4;Continued rains;Flooding;3;Dry begins;Mud;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political rallies;2;Harmattan;Poor visibility;;;
Tonga;Oceania;Nuku'alofa;4;Peak wet;Cyclones;3;Rain lessens;Humid;1;Best month;Few risks;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Dry ends;Dusty;4;Peak wet;Flooding;4;Continued rains;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Trinidad & Tobago;Caribbean;Port of Spain;1;Dry season;Few risks;1;Carnival month;Overcrowding;2;Dry continues;Dusty;3;Heat builds;Humidity;4;Rain begins;Flooding;4;Peak wet;Mosquitoes;4;Continued rains;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Tunisia;Africa;Tunis;2;Winter chill;Mountain snow;1;Best month;Few risks;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;2;Heat builds;40C desert;4;Peak scorching;Dehydration;4;Continued heat;Water shortages;2;Fall begins;Cool nights;1;Best hiking;Few risks;1;Christmas;Overcrowding;2;New Year;Security alerts;;;
Turkey;Asia;Ankara;3;Winter snow;-10C;2;Winter sports;Avalanches;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Best month;Pollen;2;Summer begins;Heatwaves;4;Peak scorching;Wildfire risk;4;Continued heat;Water shortages;1;Fall colors;Few risks;1;Best hiking;Cool nights;2;Christmas prep;Snow;3;New Year;Ice storms;;;
Turkmenistan;Asia;Ashgabat;4;Extreme cold;-20C;3;Winter sports;Blizzards;2;Snow melts;Flooding;1;Spring starts;Dust storms;1;Best month;Few risks;1;Summer begins;Few risks;1;Peak warmth;Few risks;1;Festival month;Few risks;1;Fall colors;Cool nights;2;Winter prep;Snow;3;Christmas;Power cuts;4;New Year;-30C;;;
Tuvalu;Oceania;Funafuti;1;Dry season;Few risks;1;Best month;Few risks;2;Heat builds;Humidity;3;Easter winds;Sunburn;4;Rain begins;Flooding;4;Peak wet;Dengue;4;Continued rains;Water shortages;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Uganda;Africa;Kampala;1;Dry season;Few risks;1;Best month;Few risks;3;Rainy season;Malaria;4;Peak rains;Cholera;4;Continued wet;Flooding;4;Muddy roads;Diseases;3;Dry begins;Few risks;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Few risks;1;Christmas;Few risks;2;Rainy prep;Roadblocks;;;
Ukraine;Europe;Kyiv;3;Winter grey;-10C;2;Winter sports;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Few risks;1;Best month;Pollen;2;Summer begins;Few risks;2;Peak season;Few risks;2;Festival month;Few risks;1;Fall colors;Cool nights;1;Christmas prep;Snow;2;Winter markets;Few risks;3;New Year;Ice storms;;;
United Arab Emirates;Asia;Abu Dhabi;2;Cool season;Few risks;1;Best month;Few risks;3;Heat builds;40C+;4;Scorching;50C;4;Peak heat;Dehydration;4;Continued heat;Humidity;4;Extreme heat;Health warnings;4;Dust storms;Poor visibility;2;Fall begins;Cool nights;1;Best month;Few risks;1;Christmas;Overcrowding;2;New Year;Traffic chaos;;;
United Kingdom;Europe;London;3;Winter grey;5C rain;2;Winter sales;Slush;1;Spring starts;Unpredictable;1;Easter crowds;Overcrowding;1;Best month;Pollen;2;Summer begins;Overcrowding;2;Peak season;Changeable weather;2;Festival month;Few risks;1;Fall colors;Stormy;2;Winter prep;Gales;3;Christmas;Floods;4;New Year;Power cuts;;;
United States of America;North America;Washington D.C.;3;Winter chill;Snowstorms;2;Shoulder month;Unpredictable;1;Spring starts;Tornado risk;1;Cherry blossoms;Overcrowding;1;Perfect weather;Pollen;2;Summer begins;Heatwaves;4;Peak scorching;Wildfires;4;Continued heat;Hurricane risk;1;Fall colors;Cool nights;1;Best month;Few risks;2;Winter prep;Snowstorms;3;Christmas;Flight delays;;;
Uruguay;South America;Montevideo;1;Summer peak;Heatwaves;1;Best month;Few risks;2;Fall begins;Unpredictable;1;Easter holidays;Few risks;1;Winter begins;Few risks;1;Peak cold;Few risks;1;Dry continues;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Uzbekistan;Asia;Tashkent;4;Extreme cold;-20C;3;Winter sports;Blizzards;2;Snow melts;Flooding;1;Spring starts;Dust storms;1;Best month;Few risks;1;Summer begins;Few risks;1;Peak warmth;Few risks;1;Festival month;Few risks;1;Fall colors;Cool nights;2;Winter prep;Snow;3;Christmas;Power cuts;4;New Year;-30C;;;
Vanuatu;Oceania;Port Vila;4;Peak wet;Cyclones;3;Rain lessens;Humid;1;Best month;Few risks;1;Dry continues;Few risks;2;Heat builds;Humidity;3;Dry ends;Dusty;4;Peak wet;Flooding;4;Continued rains;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Vatican City;Europe;Vatican City;3;Winter quiet;Chilly rain;2;Carnival prep;Overcrowding;1;Spring starts;Pollen;1;Easter crowds;Overcrowding;1;Perfect sightseeing;Few risks;2;Summer begins;Heatwaves;4;Peak scorching;Overcrowding;4;Continued heat;Water shortages;1;Fall colors;Few risks;1;Best month;Cool nights;2;Christmas prep;Storms;3;New Year;Ferry cancellations;;;
Venezuela;South America;Caracas;1;Dry season;Wildfires;1;Best month;Few risks;2;Heat builds;Dusty;3;Semana Santa;Sunburn;4;Rain begins;Dengue;4;Peak wet;Flooding;4;Continued rains;Landslides;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Political unrest;;;
Vietnam;Asia;Hanoi;2;Cool season;Foggy;1;Best month;Few risks;3;Heat builds;Humidity;4;Scorching;40C+;4;Rain begins;Typhoon prep;4;Peak monsoon;Flooding;4;Wettest month;Dengue;3;Dry begins;Few risks;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price hikes;;;
Yemen;Asia;Sana'a;3;Winter chill;Dust storms;2;Best month;Few risks;1;Spring starts;Unpredictable;2;Heat builds;40C+;4;Scorching;50C;4;Peak heat;Dehydration;4;Continued heat;Water shortages;4;Dust storms;Poor visibility;2;Fall begins;Cool nights;1;Best month;Few risks;2;Winter prep;Conflict flares;3;New Year;Security alerts;;;
Zambia;Africa;Lusaka;1;Summer rains;Few risks;1;Best month;Few risks;2;Fall begins;Few risks;1;Dry season;Few risks;1;Peak wildlife;Few risks;1;Winter begins;Few risks;1;Dry continues;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Few risks;1;New Year;Overcrowding;;;
Zimbabwe;Africa;Harare;1;Summer rains;Few risks;1;Best month;Few risks;2;Fall begins;Few risks;1;Dry season;Few risks;1;Peak wildlife;Few risks;1;Winter begins;Few risks;1;Dry continues;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Few risks;1;New Year;Overcrowding;;;
French Guiana;South America;Cayenne;3;Dry season, fewer mosquitoes;High humidity (85%);2;Carnival season;Overcrowding;4;Rainy season begins;Flooded roads;4;Peak rains;Malaria risk;4;Continued rains;Mudslides;4;Wettest month;Dengue outbreaks;3;Rain lessens;Poor road conditions;2;Dry begins;Fewer insects;1;Ideal weather;Perfect hiking;1;Dry season peaks;Few risks;2;Christmas;Price surges;3;New Year;Humidity rises;;;
Guinea-Bissau;Africa;Bissau;1;Dry season, safaris;Dust storms;1;Best month;Few risks;4;Heat peaks;45°C temps;4;First rains;Malaria risk;4;Peak wet season;Cholera risk;4;Continued rains;Flooding;3;Dry begins;Muddy roads;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political rallies;2;Harmattan winds;Poor visibility;3;Christmas;Travel disruptions;;;
Bosnia and Herzegovina;Europe;Sarajevo;4;Heavy snow;-10°C avg;3;Winter sports;Avalanche risk;2;Snow melts;Flooding;1;Spring blooms;Landmines in rural areas;1;Best hiking;Unstable trails;1;Summer festivals;Afternoon storms;1;Peak season;Overcrowding;1;Fall begins;Cool nights;2;Winter prep;Early snow;3;First frost;Road closures;4;Christmas;Blizzards;4;New Year;Power outages;;;
Kosovo;Europe;Pristina;3;Winter chill;Occasional snow;2;Best month;Few risks;1;Spring starts;Unpredictable weather;1;Perfect hiking;Few risks;1;Summer begins;Few risks;1;Peak warmth;Few risks;1;Festival month;Few risks;1;Fall colors;Cool nights;2;Winter prep;Snow;3;Christmas;Few risks;4;New Year;Freezing temps;;;
Greenland;North America;Nuuk;4;Polar night;-30°C avg;4;Extreme cold;Blizzards;3;Winter continues;Limited access;2;Spring begins;Icy roads;1;Midnight sun starts;24h daylight;1;Best month;Wildlife viewing;1;Peak summer;Meltwater floods;2;Fall begins;Early snow;3;Winter prep;Storm season;4;Christmas;4h daylight;4;New Year;-40°C windchill;;;
Antarctica;Antarctica;N/A;4;24h daylight;-20°C avg;4;Research season;Extreme cold;4;Winter begins;-60°C temps;4;Peak winter;No access;4;Dark season;Isolation;4;Continued winter;Health risks;4;Winter continues;No flights;3;Spring begins;Limited access;2;Summer prep;Few risks;1;Research season;24h daylight;2;Christmas;Few risks;3;New Year;Storm season;;;
